workshop_id,title,terms,installed,mod_ids,size,posted,updated,details_status,error
2881519066,Jarred Food Spoilage Adjuster,spoilage,false,,,,,not_requested,
2907834593,Calorie Fix,diet,false,,,,,not_requested,
2932547723,'93 Lincoln Town Car + Limo,diet,true,93townCar,14.655 MB,"Feb 12, 2023 @ 10:35am",Jul 2 @ 11:40am,fetched,
3078272807,Nutrition Tweaker Enhanced,nutrition,false,,503.836 KB,"Nov 10, 2023 @ 2:19am","Jul 22, 2025 @ 1:35pm",fetched,
3173649443,Medical Meister,vitamin,false,,,,,not_requested,
3297793087,[B41/B42] Temperature Affects Food Spoilage Rate,spoilage,false,,,,,not_requested,
3354834585,Comidas Tipicas Venezolanas [WIP],nutrition;food overhaul;cooking overhaul,false,,2.653 MB,"Oct 25, 2024 @ 10:40pm",Sep 6 @ 8:29pm,fetched,
3369211813,PZFateMagicTraits 圣杯魔术,vitamin,false,,,,,not_requested,
3386729204,[B42]Betterbags,hydration,false,,,,,not_requested,
3386941366,Mega Vitamins [b42],vitamin,false,,,,,not_requested,
3388844542,Minimal Display Bars + Nutritions + Discomfort [B41/B42.20],nutrition,false,,6.523 MB,"Dec 21, 2024 @ 11:44am",Sep 6 @ 2:05am,fetched,
3390531323,Smoking & Pill Taking Made Easy,vitamin,false,,,,,not_requested,
3391683076,B42维生素改,vitamin,false,,,,,not_requested,
3391690547,b42 BonzBetterCombat,vitamin,false,,,,,not_requested,
3393080905,Canteen Slot (wear canteen & satchel at  same time),hydration,false,,,,,not_requested,
3393409283,Arizona Iced Tea,diet,false,,,,,not_requested,
3396010813,BZQuickSlots,vitamin,false,,,,,not_requested,
3396429342,[B41 & B42] Immunity,diet,false,,,,,not_requested,
3413341320,[B42] ExtraSauce Quality of Life,diet,false,,,,,not_requested,
3422233570,CamelPak,hydration,false,,,,,not_requested,
3425213160,Lunchly [B42],hydration,false,,,,,not_requested,
3426165280,Fix NaN Nutrition Stats,nutrition,false,,240.428 KB,"Feb 12, 2025 @ 10:29am","Feb 13, 2025 @ 2:00am",fetched,
3430945294,Eliaz Nutritionist Magazine B42,nutrition,false,,609.386 KB,"Feb 20, 2025 @ 6:21am",,fetched,
3435755168,[B42.20] Mate ARG,hydration,false,,,,,not_requested,
3436665621,Soda Unnerfed,diet,false,,,,,not_requested,
3441138219,Protein Shake [B42],malnutrition,false,,,,,not_requested,
3446372375,Make HydrationBackpack+,hydration,false,,,,,not_requested,
3476660348,Make Sauerkraut,diet,false,,,,,not_requested,
3492090092,TwisTonFire - Calories & Nutrition,nutrition,false,,1.794 MB,"Jun 2, 2025 @ 6:18am",Mar 21 @ 11:45pm,fetched,
3494803855,[B41/B42] Hephas Vitamins,vitamin,false,,,,,not_requested,
3509498392,Boilable Water Jug [B42.12],hydration,false,,,,,not_requested,
3516166810,Red Days,malnutrition,false,,,,,not_requested,
3527093221,Mutie's Tooltips,spoilage,false,,,,,not_requested,
3528669221,ssj_basic_mods,vitamin,false,,,,,not_requested,
3548639002,[B42] Clothing Protection: Rebalanced,spoilage,false,,,,,not_requested,
3549290115,[B42.20] Ogrim Mod's - My Own Well,hydration,false,,,,,not_requested,
3554570236,Filibuster Rhymes' Acceptable Guns DEMO!,diet,false,,,,,not_requested,
3568029240,Pocket Kittens (B42) [42.13],diet,false,,,,,not_requested,
3571998958,Gulp down vitamins,vitamin,false,,,,,not_requested,
3597673472,Long Term Preservation Extended [42.20+],spoilage,false,,,,,not_requested,
3602215188,Food Expires Eventually,spoilage,false,,,,,not_requested,
3623275770,Simulated Antibodies (42.13.1 MP) Alpha 1.6.1,vitamin,false,,,,,not_requested,
3628786816,维生素改进版,vitamin,false,,,,,not_requested,
3650016308,[42] ClothingBased On Occupation42,vitamin,false,,,,,not_requested,
3653719735,BloodNutrition,nutrition,false,,96.658 KB,Jan 25 @ 7:07am,Jan 25 @ 7:18am,fetched,
3656044799,Oh My Hotkeys,vitamin,false,,,,,not_requested,
3669286020,[B42.20] Bag Upgrade Plus Realistic,hydration,false,,,,,not_requested,
3674399753,AHS - Advanced Health System,hydration,false,,,,,not_requested,
3676251425,PhunCure 2,spoilage,false,,,,,not_requested,
3676431328,[B42] I Regret Nothing Trait,diet,false,,,,,not_requested,
3683292934,让维生素再次伟大！,vitamin,false,,,,,not_requested,
3690404044,Nutrition Makes Sense,nutrition,false,,1.042 MB,Mar 22 @ 4:57pm,Aug 18 @ 5:01pm,fetched,
3694158509,Sauce Tooltips - Enhanced Tooltip Mod,spoilage,false,,,,,not_requested,
3695045219,Hydration Alice Belt,hydration,false,,,,,not_requested,
3697369580,Better Vanilla Military Misc,hydration,false,,,,,not_requested,
3699095087,Mega Mod Collection,diet,false,,,,,not_requested,
3699299123,Ice Guy[B42.16+] LEGACY,spoilage,false,,,,,not_requested,
3700831155,Yumi's Advanced Trapping Overhaul,diet,false,,,,,not_requested,
3703684537,QWE- Dadge Steals RT Twin Turbo v.2.01 [b42.16],spoilage,false,,,,,not_requested,
3709126801,Nature's Call [B42.16+ MP],diet,false,,,,,not_requested,
3712569610,Upgrade Hydration Backpack[SP/MP][42.20],hydration,false,,,,,not_requested,
3714720114,[B42] Immersive Diets Mod,diet,false,,,,,not_requested,
3714772035,Yumi's Eat Anything For Animals <3,diet,false,,,,,not_requested,
3720785274,Chronic Migraines,hydration,false,,,,,not_requested,
3721170507,Food Expiration Date,spoilage,false,,,,,not_requested,
3731451178,FARP: Tactical Survival Relaxation,diet,false,,,,,not_requested,
3736275816,ApocalipseBR - Nutrition Sync Fix,nutrition,false,,453.434 KB,May 31 @ 7:55am,May 31 @ 11:18am,fetched,
3741967116,Furry Traits for Furry Lovers ;),diet,false,,,,,not_requested,
3742599937,Plysken Survival Concept,hydration,false,,,,,not_requested,
3746632343,Bundle Up! - A Packing Mod,spoilage,false,,,,,not_requested,
3750296207,Drink Fatigue Reduction,vitamin;diet,false,,,,,not_requested,
3752565300,Shiba Bridge,diet,false,,,,,not_requested,
3755764791,New Music - Emo and Post-Hardcore,diet,false,,,,,not_requested,
3757293516,AnadoluRockB42,vitamin,false,,,,,not_requested,
3758857794,Bottles Backpack Bottom,hydration,false,,,,,not_requested,
3758971325,Better Item Info,spoilage,false,,,,,not_requested,
3759421894,Big Bottles,hydration,true,BigBottles,107.238 KB,Jul 6 @ 5:31pm,Aug 1 @ 6:44am,fetched,
3759822002,New Music - The Sugarcubes (1988-1992),vitamin,false,,,,,not_requested,
3760019748,Master Chef: Nutritionist Trait,nutrition,false,,,,,not_requested,
